sectors;years;ACFU;ALPS;ALSA;AMCA;AMNE;AMRU;CACO;CYCA;ESLU;HITE;ICPU;LEGI;MIDO;MISA;MOAM;MOAN;MOMA;NEME;NOCR;NOHU;PECA;PEFL;PONI;SACA;SAVI
Lac Saint-Pierre;1995;0.298245614;0.01754386;0;0.035087719;2.614035088;0.122807018;3.771929825;1.50877193;3.578947368;0.877192982;0.263157895;0.280701754;0;0.263157895;0.035087719;0.596491228;0.421052632;0;2.50877193;0.578947368;0.01754386;23.29824561;0.052631579;0.877192982;3.438596491
Lac Saint-Pierre;2002;0.877862595;0.763358779;0.442748092;0.015267176;1.236641221;0.702290076;2.610687023;0.13740458;2.603053435;1.122137405;0.41221374;0.427480916;0.480916031;0.099236641;0.030534351;0.58778626;3.030534351;0;1.801526718;0.65648855;0.091603053;17.32061069;0;1.305343511;3.946564885
Lac Saint-Pierre;2007;0.411255411;0.004329004;0.095238095;0;2.164502165;0.151515152;1.428571429;0.056277056;0.597402597;1.021645022;0.857142857;0.056277056;0.294372294;0.056277056;0.043290043;0.285714286;1.779220779;0.086580087;1.12987013;0.354978355;0.034632035;5.558441558;0;0.926406926;1.805194805
Lac Saint-Pierre;2013;0.353448276;0.004310345;0.11637931;0;0.663793103;0.103448276;1.120689655;0.017241379;0.521551724;1.737068966;2.159482759;0.038793103;0.318965517;0;0.107758621;0.607758621;2.189655172;0.004310345;0.056034483;0.038793103;0.004310345;3.025862069;0.00862069;1.659482759;2.517241379
Lac Saint-Pierre;2016;0.703296703;0;0.263736264;0;1.769230769;0.087912088;1.340659341;0.395604396;0.428571429;5.571428571;4.56043956;0.087912088;0.824175824;0.087912088;0.274725275;0.879120879;3.802197802;0;0.505494505;0.054945055;0.021978022;5.813186813;0;1.043956044;3.934065934
Lac Saint-François;1996;0.013157895;0.065789474;0;0;0.144736842;5.565789474;1.381578947;0.052631579;3.236842105;0;0;1.026315789;0.460526316;0.276315789;0;0.092105263;0.039473684;0;1.815789474;0.710526316;0;21.68421053;0.118421053;0;0.763157895
Lac Saint-Louis;1997;0.962962963;0;0;0;0.185185185;3.765432099;1.481481481;0.074074074;2.074074074;0.333333333;0.358024691;0.740740741;0.259259259;0.074074074;0.012345679;0.641975309;0.296296296;0;0.740740741;0.086419753;0;42.81481481;0.037037037;0.641975309;2.925925926
Montréal-Sorel;2001;1.021276596;0;0;0;0.14893617;1.553191489;0.765957447;0.14893617;0.680851064;0.053191489;0.457446809;0.031914894;0.553191489;0;0.010638298;0.085106383;0.659574468;0;0.138297872;0.063829787;0;4.893617021;0;0.744680851;1.308510638
Lac Saint-François;2004;0.014925373;0.059701493;0;0;0.104477612;3.417910448;0.507462687;0;0.895522388;0;0;0.611940299;0.201492537;0.305970149;0;0.014925373;0.02238806;0.014925373;0.044776119;0.171641791;0;19.23880597;0.02238806;0;0.253731343
Lac Saint-Louis;2005;1.230769231;0.583333333;0.128205128;0.012820513;0.205128205;3.467948718;0.397435897;0.461538462;0.583333333;1.41025641;0.192307692;0.512820513;1.173076923;0.397435897;0.025641026;0.262820513;0.397435897;0;0.096153846;0.288461538;0.006410256;12.66025641;0.006410256;0.294871795;2.737179487
Lac Saint-François;2009;0.031746032;0.150793651;0;0;0.126984127;6.404761905;0.658730159;0;0.111111111;0;0;0.238095238;1.396825397;0.198412698;0;0.007936508;0.103174603;0.103174603;0.079365079;2.507936508;0;21.84920635;0.015873016;0;0.571428571
