sites,ALPS,ALSA,AMNE,AMPE,AMRU,CACO,CACY,CUIN,CYCA,CYSI,ESLU,ESMA,ETNI,ETNO,ETOL,FUDI,HYRE,LASI,LEGI,LEMA,LUCO,MIDO,MISA,MOAM,MOAN,MOMA,NEME,NOAT,NOBI,NOCR,NOHD,NOHU,NORU,NOST,OSMO,PECA,PEFL,PEOM,PONI,SAVI,SECO
2,0.08333333,0.00000000,1.25000000,0.000000000,0.2500000,0.47222222,0.02777778,0.00000000,0.08333333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.61111111,8.694444,0.11111111,0.08333333,4.305556,0.0000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05555556,0.0000000,4.61111111,9.16666667,9.000000,0.055555556,0.4722222,0.00000000,0.0000000,0.00000000,0.1666667,9.000000,0.83333333,0.00000000,0.02777778,0.00000000
9,0.08333333,0.04166667,20.36111111,0.097222222,0.9166667,0.04166667,0.00000000,0.00000000,0.04166667,0.62500000,0.61111111,0.00000000,0.43055556,0.00000000,15.00000000,96.666667,0.87500000,6.56944444,29.416667,0.0000000,0.00000000,0.06944444,0.06944444,0.01388889,0.00000000,0.45833333,0.0000000,4.38888889,34.88888889,44.638889,0.625000000,0.8472222,0.00000000,0.4444444,0.00000000,1.1250000,8.652778,1.43055556,0.20833333,0.06944444,0.01388889
14,0.58904110,0.01369863,2.26027397,0.013698630,0.5205479,0.43835616,0.00000000,0.00000000,0.06849315,0.24657534,0.17808219,0.01369863,0.04109589,0.00000000,5.98630137,41.520548,0.28767123,5.21917808,30.602740,0.0000000,0.00000000,0.04109589,0.09589041,0.00000000,0.20547945,0.54794520,1.4520548,11.41095890,47.83561644,54.726027,2.767123288,4.9589041,0.05479452,0.0000000,0.06849315,1.0000000,13.191781,0.80821918,0.06849315,0.01369863,0.01369863
22,2.59722222,0.06944444,0.40277778,0.180555556,0.2638889,0.08333333,0.01388889,0.00000000,0.00000000,1.45833333,0.27777778,0.00000000,0.20833333,0.00000000,2.88888889,3.402778,0.23611111,38.68055556,24.263889,0.0000000,0.00000000,0.09722222,0.15277778,0.00000000,0.04166667,0.09722222,0.7638889,29.12500000,11.06944444,54.847222,0.000000000,0.8333333,0.02777778,0.4444444,0.06944444,0.2638889,6.930556,2.69444444,0.04166667,0.08333333,0.01388889
26,2.20689655,0.05172414,1.68965517,0.137931034,1.2931034,0.94827586,0.01724138,0.00000000,0.08620690,2.46551724,0.18965517,0.00000000,0.00000000,0.00000000,4.44827586,15.155172,2.50000000,21.18965517,51.741379,0.0000000,0.00000000,0.08620690,0.13793103,0.01724138,0.20689655,1.20689655,0.8620690,13.55172414,23.08620690,55.086207,7.810344828,1.1724138,0.00000000,0.7758621,0.03448276,0.1724138,11.465517,15.46551724,0.13793103,0.22413793,0.01724138
4,0.04651163,0.00000000,0.00000000,0.000000000,2.0930233,0.16279070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02325581,0.27906977,0.00000000,7.83720930,2.604651,0.00000000,2.04651163,2.720930,0.0000000,0.00000000,0.04651163,0.25581395,0.00000000,0.02325581,0.11627907,0.0000000,0.00000000,0.00000000,2.372093,0.000000000,0.5813953,0.00000000,0.0000000,0.00000000,1.2325581,5.651163,0.00000000,0.25581395,0.00000000,0.00000000
6,0.82608696,0.00000000,0.04347826,0.000000000,7.7391304,0.21739130,0.00000000,0.32608696,0.02173913,2.21739130,0.21739130,0.00000000,0.23913044,0.00000000,6.23913043,5.934783,0.00000000,2.26086957,19.739130,0.0000000,0.04347826,0.34782609,0.30434783,0.02173913,0.15217391,0.06521739,0.0000000,1.21739130,0.02173913,37.369565,0.000000000,12.4782609,0.00000000,19.1956522,0.00000000,7.4565217,13.239130,0.00000000,2.19565217,0.02173913,0.00000000
8,1.36363636,0.05882353,0.25668449,0.005347594,4.3048128,1.80213904,0.24598930,0.06417112,0.14438503,2.30481283,0.04278075,0.08021390,0.07486631,1.57219251,8.59893048,15.347594,0.49732620,0.24064171,7.299465,0.0000000,0.07486631,0.41176471,0.11229947,0.01069519,0.37967914,2.81818182,0.0000000,2.85561497,0.54545455,4.561497,0.005347594,8.3850267,0.00000000,0.2887701,0.11764706,5.4759358,7.005348,4.41711230,0.05882353,0.27272727,0.01604278
11,0.13636364,0.00000000,0.12121212,0.000000000,3.3181818,0.19696970,0.00000000,0.00000000,0.00000000,0.01515152,0.01515152,0.01515152,0.09090909,0.00000000,16.22727273,21.787879,0.00000000,17.28787879,4.560606,0.0000000,0.00000000,0.19696970,1.40909091,0.09090909,0.01515152,0.04545454,0.0000000,0.00000000,0.00000000,3.287879,1.803030303,2.0606061,0.00000000,4.4545455,0.00000000,1.0909091,10.121212,0.00000000,0.28787879,0.03030303,0.00000000
12,0.33000000,0.05000000,0.54000000,0.000000000,8.5600000,0.46000000,0.00000000,0.49000000,0.05000000,0.17000000,0.25000000,0.02000000,0.00000000,0.00000000,13.95000000,19.960000,0.00000000,3.18000000,27.310000,0.0000000,0.00000000,0.11000000,2.25000000,0.01000000,0.03000000,0.09000000,0.0000000,0.53000000,0.00000000,6.850000,0.730000000,1.8500000,0.00000000,2.9600000,0.00000000,3.1300000,7.790000,0.41000000,1.22000000,0.15000000,0.00000000
16,0.58461538,0.00000000,0.13846154,0.000000000,2.3846154,0.26153846,0.00000000,0.04615385,0.00000000,0.13846154,0.03076923,0.01538462,0.00000000,0.00000000,0.07692308,3.646154,0.00000000,91.64615385,8.015385,0.0000000,0.00000000,0.15384615,1.67692308,0.01538462,0.07692308,0.03076923,29.6153846,0.04615385,0.46153846,4.615385,4.446153846,1.6923077,0.00000000,13.7384615,0.01538462,0.5692308,6.861538,0.01538462,0.07692308,0.01538462,0.00000000
18,8.77000000,0.01000000,0.46000000,0.000000000,6.2400000,0.22000000,0.01000000,0.00000000,0.00000000,2.61000000,0.06000000,0.02000000,0.00000000,0.00000000,1.06000000,7.210000,0.00000000,28.32000000,23.760000,0.2500000,0.00000000,0.38000000,1.57000000,0.12000000,0.01000000,0.06000000,15.5700000,5.01000000,1.30000000,5.260000,2.430000000,4.8100000,0.83000000,0.5000000,0.13000000,4.5500000,13.140000,0.00000000,0.19000000,0.05000000,0.13000000
23,2.83870968,0.00000000,0.06451613,0.000000000,6.0322581,0.17741936,0.00000000,0.00000000,0.00000000,0.06451613,0.01612903,0.00000000,0.00000000,0.00000000,0.00000000,3.048387,0.00000000,25.90322581,4.548387,1.6290323,0.01612903,0.14516129,3.11290323,0.01612903,0.03225807,0.00000000,39.4677419,0.25806452,0.01612903,7.274194,3.241935484,1.3225806,0.01612903,6.8870968,0.00000000,0.2580645,4.193548,0.00000000,0.41935484,0.00000000,0.35483871
25,2.78947368,0.02631579,0.25438596,0.017543860,8.6491228,1.42105263,0.00000000,0.00000000,0.03508772,1.38596491,0.09649123,0.01754386,0.00000000,0.04385965,1.54385965,1.035088,0.07017544,0.92982456,4.491228,0.2017544,0.01754386,0.27192983,0.85087719,0.03508772,0.23684210,2.22807018,23.4561403,10.36842105,0.64035088,1.482456,0.008771930,12.6578947,0.01754386,0.8771930,0.00877193,1.7807018,3.807018,9.23684210,1.15789474,0.65789474,1.75438596
